index,song_name,artist_name,album_names,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,id,link
25,Hey There Delilah,Plain White T's,All That We Needed,0.79,0.12338573505074005,0.872,0.657,0.29100000000000004,0.0,0.18181818181818185,0.114,0.6987336753153421,1,0.0293,0.4290766678496851,0.8,0.298,Hey There DelilahPlain White T's,
26,Blurry,Puddle Of Mudd,Come Clean (Repackaged International Version),0.28,0.16332595927145613,0.0102,0.44,0.932,0.0,0.2727272727272727,0.142,0.8495031348350804,0,0.0584,0.6497164882509759,0.8,0.495,BlurryPuddle Of Mudd,
27,American Idiot,Green Day,American Idiot,0.78,0.09194974000557253,2.64e-05,0.38,0.988,7.859999999999999e-05,0.09090909090909093,0.368,0.9101182068247714,1,0.0639,0.7680527241063395,0.8,0.769,American IdiotGreen Day,
28,Welcome to the Black Parade,My Chemical Romance,The Black Parade,0.77,0.167346445511949,0.00028900000000000003,0.217,0.905,0.00011,0.18181818181818185,0.222,0.8590439372537357,1,0.0752,0.400094091235484,0.8,0.23600000000000002,Welcome to the Black ParadeMy Chemical Romance,
29,Gives You Hell,The All-American Rejects,When The World Comes Down,0.71,0.11251654688012283,0.0156,0.7140000000000001,0.725,0.0,0.3636363636363637,0.0726,0.8018486853517706,1,0.0402,0.412631335682863,0.8,0.59,Gives You HellThe All-American Rejects,
30,All My Life,Foo Fighters,ONE BY ONE,0.11,0.1402822956495273,0.000194,0.5820000000000001,0.597,0.000273,0.4545454545454546,0.517,0.8201868510395758,1,0.0512,0.6922226165617081,0.8,0.674,All My LifeFoo Fighters,
31,Like a Stone,Audioslave,Audioslave,0.77,0.15775345120642562,0.00797,0.614,0.568,0.0,0.6363636363636364,0.0997,0.8249944242063787,0,0.0276,0.4450721778819568,0.8,0.516,Like a StoneAudioslave,
32,It's Been Awhile,Staind,Break The Cycle,0.65,0.14138616697606396,0.0018899999999999998,0.509,0.774,0.000549,0.5454545454545454,0.14300000000000002,0.8602582211979284,1,0.0338,0.4808928763030398,0.8,0.0824,It's Been AwhileStaind,
33,I Hate Everything About You,Three Days Grace,Three Days Grace (Deluxe Version),0.75,0.12279659338482868,0.00461,0.498,0.83,0.0,0.5454545454545454,0.139,0.8329244418011053,0,0.0421,0.36869733160557616,0.8,0.45299999999999996,I Hate Everything About YouThree Days Grace,
34,Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,0.74,0.11288245253017602,0.00506,0.599,0.932,0.0,0.8181818181818182,0.26899999999999996,0.8782494486159641,1,0.18,0.3971392962966019,0.8,0.6920000000000001,Rollin' (Air Raid Vehicle)Limp Bizkit,
35,Fat Lip,Sum 41,"All Killer, No Filler",0.74,0.09302395842774706,0.000618,0.574,0.9109999999999999,0.0,0.8181818181818182,0.0769,0.8324535970064184,1,0.0715,0.4047367508810736,0.8,0.573,Fat LipSum 41,
36,The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",0.11,0.1439973010262143,0.000917,0.433,0.9590000000000001,0.0,0.8181818181818182,0.027999999999999997,0.8606051594676976,1,0.0431,0.7138718543401645,0.8,0.365,The PretenderFoo Fighters,
37,Savior,Rise Against,Appeal To Reason,0.73,0.12883907200956055,0.00164,0.5489999999999999,0.93,6.670000000000001e-05,0.4545454545454546,0.39,0.8747800659182713,0,0.0487,0.4640472437045535,0.8,0.526,SaviorRise Against,
38,Bodies,Drowning Pool,Sinner,0.74,0.10628048514389493,0.0034700000000000004,0.6559999999999999,0.932,0.00147,0.3636363636363637,0.14400000000000002,0.8763412881322329,0,0.0708,0.5403478074266047,0.8,0.544,BodiesDrowning Pool,
39,"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,0.79,0.12146109371101065,0.00898,0.499,0.8240000000000001,0.0,0.6363636363636364,0.163,0.8432334646742498,1,0.0794,0.6684480723677151,0.8,0.6990000000000001,"Sugar, We're Goin DownFall Out Boy",
40,Last Nite,The Strokes,Is This It,0.7000000000000001,0.10147615514847154,0.0223,0.624,0.899,0.000155,0.0,0.0975,0.8192203801452185,1,0.0295,0.42941506615274144,0.8,0.797,Last NiteThe Strokes,
41,Through Glass,Stone Sour,Come What[ever] May,0.6,0.15159124198672222,0.0417,0.545,0.753,0.0,0.2727272727272727,0.389,0.8462815651872228,0,0.036000000000000004,0.4364265139197253,0.8,0.434,Through GlassStone Sour,
42,The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Explicit Version),0.6900000000000001,0.10548936803506427,5.5299999999999996e-05,0.374,0.961,0.0834,0.9090909090909092,0.138,0.8511634822689763,0,0.0851,0.6893090897085647,0.8,0.35700000000000004,The Diary of Jane - Single VersionBreaking Benjamin,
43,Down With the Sickness,Disturbed,The Sickness,0.73,0.14950267043985888,0.0009960000000000001,0.695,0.8759999999999999,6.89e-06,0.2727272727272727,0.106,0.8551037097613561,0,0.0553,0.3712229384527769,0.8,0.941,Down With the SicknessDisturbed,
44,Wish You Were Here,Incubus,Morning View,0.62,0.11230785757206496,0.0006309999999999999,0.24600000000000002,0.768,0.301,0.8181818181818182,0.102,0.7753574703243873,1,0.0387,0.7010333528668938,0.8,0.35,Wish You Were HereIncubus,
45,Youth Of The Nation,P.O.D.,Satellite (U.S. Version WEA Distribution),0.72,0.13664953512078806,0.00834,0.563,0.86,0.0106,0.7272727272727273,0.39,0.7740440611602607,1,0.0621,0.4038783746977113,0.8,0.517,Youth Of The NationP.O.D.,
46,Vertigo,U2,How To Dismantle An Atomic Bomb,0.5700000000000001,0.10211788875796853,0.000153,0.391,0.831,0.0019199999999999998,0.18181818181818185,0.141,0.8642727926052586,1,0.0613,0.5775303526770607,0.8,0.6829999999999999,VertigoU2,
47,Miss Murder,AFI,DECEMBERUNDERGROUND,0.71,0.10886868015482172,0.000213,0.309,0.875,0.00168,0.09090909090909093,0.113,0.8494535722251134,1,0.0488,0.5923043273714705,0.8,0.725,Miss MurderAFI,
48,I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",0.63,0.09045814296728223,0.00225,0.535,0.948,0.0,0.5454545454545454,0.376,0.8568879637201695,0,0.0356,0.4258164890763377,0.8,0.778,I Bet You Look Good On The DancefloorArctic Monkeys,
49,"Steady, As She Goes",The Raconteurs,Broken Boy Soldiers,0.64,0.1137250426050692,0.0132,0.524,0.578,0.00921,0.8181818181818182,0.10800000000000001,0.8476445369613164,1,0.12,0.5103582895203823,0.8,0.537,"Steady, As She GoesThe Raconteurs",
50,Falling Away from Me,Korn,Issues,0.71,0.14486283014033094,0.00014,0.46799999999999997,0.769,0.00124,0.3636363636363637,0.271,0.7863603697370704,1,0.040999999999999995,0.4296090261557127,0.8,0.17,Falling Away from MeKorn,
51,Crawling In The Dark,Hoobastank,Hoobastank,0.61,0.0912112148403275,0.000295,0.5920000000000001,0.932,7.59e-05,0.5454545454545454,0.138,0.8494287909201299,0,0.0885,0.3865787931561006,0.8,0.698,Crawling In The DarkHoobastank,
52,I Stand Alone,Godsmack,Faceless,0.67,0.13094274975298573,4.7799999999999996e-05,0.213,0.93,0.0,0.0,0.126,0.8497509478849157,1,0.0671,0.6983426736767386,0.8,0.386,I Stand AloneGodsmack,
53,Woman,Wolfmother,Wolfmother,0.63,0.09192736045511056,5.1e-05,0.21899999999999997,0.9520000000000001,0.0989,0.18181818181818185,0.157,0.8709885262557926,1,0.17600000000000002,0.4658589126684769,0.2,0.172,WomanWolfmother,
54,Show Me How to Live,Audioslave,Audioslave,0.72,0.14873449237025174,0.000336,0.433,0.8540000000000001,0.000177,0.8181818181818182,0.162,0.8648675439248631,1,0.0483,0.3689366865028599,0.8,0.368,Show Me How to LiveAudioslave,
55,The Red,Chevelle,Wonder What's Next,0.71,0.12666825561474948,0.000671,0.509,0.843,0.0008029999999999999,0.09090909090909093,0.348,0.8784972616657993,0,0.0488,0.5779801748116112,0.6000000000000001,0.332,The RedChevelle,
